name,category,city,address,phone,website,rating,reviews,maps_url,scraped_at,email
"The Wedding Club Kochi - Best Wedding Suits & Gowns Rental Ernakulam, Kochi",bridal lounge,Ernakulam,"Jos Brothers Building, Mahatma Gandhi Rd, Ernakulam South, Kochi, Kerala 682016",0484 403 3350,http://www.weddingclubkochi.in/,4.5,149,"https://www.google.com/maps/place/The+Wedding+Club+Kochi+-+Best+Wedding+Suits+%26+Gowns+Rental+Ernakulam,+Kochi/@9.968598,76.1417284,12z/data=!4m10!1m2!2m1!1sbridal+lounge+in+Ernakulam,+Kerala!3m6!1s0x3b0873281caff135:0x463b15dfaa616b2d!8m2!3d9.968598!4d76.285924!15sCiJicmlkYWwgbG91bmdlIGluIEVybmFrdWxhbSwgS2VyYWxhWiMiIWJyaWRhbCBsb3VuZ2UgaW4gZXJuYWt1bGFtIGtlcmFsYZIBHHdlZGRpbmdfZHJlc3NfcmVudGFsX3NlcnZpY2XgAQA!16s%2Fg%2F11gh_tzlfh?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:23,info@weddingclubkochi.in
Althea Bridal & Bespoke,bridal lounge,Ernakulam,"33/1842 , NH Bypass, Vennala PO, opp. PUMA Factory Outlet, Kochi, Kerala 682028",0484 404 7473,https://altheabridal.in/,4.5,,"https://www.google.com/maps/place/Althea+Bridal+%26+Bespoke/@9.968598,76.1417284,12z/data=!4m10!1m2!2m1!1sbridal+lounge+in+Ernakulam,+Kerala!3m6!1s0x3b0872c0c6014985:0x31d6fd8b4d0ed20!8m2!3d9.9947573!4d76.3149417!15sCiJicmlkYWwgbG91bmdlIGluIEVybmFrdWxhbSwgS2VyYWxhWiMiIWJyaWRhbCBsb3VuZ2UgaW4gZXJuYWt1bGFtIGtlcmFsYZIBC2JyaWRhbF9zaG9w4AEA!16s%2Fg%2F11b6ykj1hd?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:24,info@altheabridal.in
Aserah Premium Bridal Rentals,bridal lounge,Ernakulam,"Metrostation NH544, Pathadipalam, Edappally, Kochi, Ernakulam, Kerala 682024",089214 06624,,4.9,"1,961","https://www.google.com/maps/place/Aserah+Premium+Bridal+Rentals/@9.968598,76.1417284,12z/data=!4m10!1m2!2m1!1sbridal+lounge+in+Ernakulam,+Kerala!3m6!1s0x3b080d60ca575a93:0xada32a02befedfe2!8m2!3d10.0363147!4d76.3141124!15sCiJicmlkYWwgbG91bmdlIGluIEVybmFrdWxhbSwgS2VyYWxhWiMiIWJyaWRhbCBsb3VuZ2UgaW4gZXJuYWt1bGFtIGtlcmFsYZIBC2JyaWRhbF9zaG9w4AEA!16s%2Fg%2F11v02y4bkz?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:24,
Rajadhani gold and diamonds,jewellery shop,Ernakulam,"Edappally - Pukkattupady Rd, Edappally Toll, Unnichira, Koonamthai, Edappally, Kochi, Ernakulam, Kerala 682024",099954 09890,,4.8,,"https://www.google.com/maps/place/Rajadhani+gold+and+diamonds/@10.0276237,76.2751941,14z/data=!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b080d38328ef30d:0x530748c1ef8b70c8!8m2!3d10.0276237!4d76.311243!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F11k3d6sv4l?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,
TRINITY GOLD PALARIVATTOM,jewellery shop,Ernakulam,"43/536/A, Mahakavi Vailoppilli Rd, Palarivattom, Kochi, Ernakulam, Kerala 682025",089433 29916,http://www.trinitygold.in/,4.9,,"https://www.google.com/maps/place/TRINITY+GOLD+PALARIVATTOM/@10.0276237,76.2751941,14z/data=!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b080d04e266290f:0xee37108924036672!8m2!3d10.00093!4d76.3068623!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F11khykftkl?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,
Malabar Gold and Diamonds - LuLu Mall - Ernakulam,jewellery shop,Ernakulam,"Door 34 / 850 851, NH 47, Edappally Junction, Nethaji Nagar, Edappally, Ernakulam, Kerala 682024",0484 272 8916,https://www.malabargoldanddiamonds.com/,4.9,,"https://www.google.com/maps/place/Malabar+Gold+and+Diamonds+-+LuLu+Mall+-+Ernakulam/@10.0276237,76.2751941,14z/data=!3m1!5s0x3b080dafb088c797:0xec6b7a8470eb59d5!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b080dafb057c8e9:0x34501d71dffc8fad!8m2!3d10.026904!4d76.307955!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F12hl0m_q4?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,care.ae@malabargoldanddiamonds.com
"Kalyan Jewellers - MG Road, Ernakulam",jewellery shop,Ernakulam,"40, 961A, Mahatma Gandhi Rd, opp. Maharajas College Ground, Shenoys, Ernakulam, Kerala 682011",092400 30756,https://store.kalyanjewellers.net/kalyan-jewellers-store-mg-road-ernakulam/ekm/overview,4.5,,"https://www.google.com/maps/place/Kalyan+Jewellers+-+MG+Road,+Ernakulam/@9.9746656,76.2488468,14z/data=!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b080d4d22d09f5d:0x2623209137adadc2!8m2!3d9.9746656!4d76.2848957!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F11gzjz2qn?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,ashoknagar@kalyanjewellers.store
Maharaja Gold & Diamonds,jewellery shop,Ernakulam,"Edappally Toll Jn,NH 544, 47, Old NH17, Koonamthai, Edappally, Kochi, Kerala 682024",080860 06916,https://maharajagoldanddiamond.com/,4.8,,"https://www.google.com/maps/place/Maharaja+Gold+%26+Diamonds/@10.0300639,76.2748521,14z/data=!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b080d8c796bde97:0x303ee7b335c69664!8m2!3d10.0300639!4d76.310901!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F11t89dxjnm?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,
"Mia by Tanishq - LuLu Mall, Ernakulam",jewellery shop,Ernakulam,"Level 2, Lulu Shopping Mall, Edappally Junction, Nethaji Nagar, Edappally, Ernakulam, Kerala 682024",0484 461 3846,https://www.miabytanishq.com/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-mia_by_tanishq,4.9,,"https://www.google.com/maps/place/Mia+by+Tanishq+-+LuLu+Mall,+Ernakulam/@10.0300639,76.2748521,14z/data=!3m1!5s0x3b080dafb089d8fd:0xec6b7a84a46b3205!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b080d7046db5439:0xb5bbf0f2a5cb0a14!8m2!3d10.0271018!4d76.3078234!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F11s76bzb7r?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,
Nakshatra Gold and Diamonds Wholesalers and Manufacturers,jewellery shop,Ernakulam,"Maharajas Metro Station, Mahatma Gandhi Rd, opposite Metro Piller No 700, Shenoys, Kochi, Ernakulam, Kerala 682011",085898 26366,https://nakshatragoldanddiamond.com/,4.8,,"https://www.google.com/maps/place/Nakshatra+Gold+and+Diamonds+Wholesalers+and+Manufacturers/@9.9739032,76.2490448,14z/data=!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b080dbc72393e53:0x6b205f2344411c08!8m2!3d9.9739032!4d76.2850937!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F11l1mht1t3?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,nakshatragoldaluva@gmail.com
Regal Jewellers Cochin,jewellery shop,Ernakulam,"Regal Mansion, Market Rd, Edappally, Ernakulam, Kerala 682024",088679 09090,http://regaljewellers.net/,4.8,,"https://www.google.com/maps/place/Regal+Jewellers+Cochin/@10.0214166,76.2706636,14z/data=!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b080de3fe3da193:0xcc3018d35787f463!8m2!3d10.0214166!4d76.3067125!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgERd2hvbGVzYWxlX2pld2VsZXKaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhXYlZNeWNHRmhSM1J4WWpCd05HVlRNWEpZTVU1WlZHdG5lbVZyUlJBQuABAPoBBAgAEEY!16s%2Fg%2F11qpdsthjx?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,calicut@regaljewellers.net
Joyalukkas Jewellery - Kochi,jewellery shop,Ernakulam,"Metro pillar no:654, Mahatma Gandhi Rd, opposite padma theatre, Padma Junction, Pullepady, Kochi, Ernakulam, Kerala 682035",0484 235 0512,https://www.joyalukkas.in/?utm_source=G_Maps&utm_medium=GBP&utm_campaign=Joyalukkas_Jewellery_KochiNew&utm_content=JLKL01,4.8,,"https://www.google.com/maps/place/Joyalukkas+Jewellery+-+Kochi/@9.9820644,76.246926,14z/data=!3m1!5s0x3b080d4fd12b25bb:0x983f0d07d0a08c63!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b080d56bba6c131:0x47379f1452f6e22c!8m2!3d9.9820644!4d76.2829749!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F1tl4bggy?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,b2bindia@joyalukkas.com
BlueStone Jewellery MG Road Kochi,jewellery shop,Ernakulam,"GF&FF, Palal Arcade, Mahatma Gandhi Rd, South, Pallimukku, Ernakulam, Kochi, Kerala 682016",077009 20172,https://www.bluestone.com/stores/mg-road-kochi-reslnk-TWpBeA==/catalog.html?utm_source=Google_GMB&utm_medium=GMB_Organic_Store&utm_campaign=GMB_local,4.9,,"https://www.google.com/maps/place/BlueStone+Jewellery+MG+Road+Kochi/@9.9820644,76.246926,14z/data=!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b087378d2770fc7:0xf37dfadae9be8b3d!8m2!3d9.9667581!4d76.2862607!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F11ldqn6nnp?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,cs@bluestone.com
Chungath Jewellery,jewellery shop,Ernakulam,"Chungath Jewellery, KPCC Junction, Mahatma Gandhi Rd, Ground Junction, Marine Drive, Kochi, Ernakulam, Kerala 682011",0484 236 9916,https://www.chungathjewellery.com/,4.2,,"https://www.google.com/maps/place/Chungath+Jewellery/@9.9820644,76.246926,14z/data=!3m1!5s0x3b0872b2e6bfc9c1:0xde0de922c10b117f!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b0872b0dd7e51ef:0x8ff3ecf01585bca2!8m2!3d9.9718323!4d76.2850781!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F11t86w_m_p?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,
Malabar Gold and Diamonds - MG Road - Ernakulam,jewellery shop,Ernakulam,"Mahatma Gandhi Rd, Ernakulam South, Kochi, Ernakulam, Kerala 682011",099613 43916,http://www.malabargoldanddiamonds.com/.,4.4,,"https://www.google.com/maps/place/Malabar+Gold+and+Diamonds+-+MG+Road+-+Ernakulam/@9.9820644,76.246926,14z/data=!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b0872b301ce58ad:0xdb12d206bcb84826!8m2!3d9.9708867!4d76.2856524!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F12vqy10mn?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,care.ae@malabargoldanddiamonds.com
"Josco Jewellers, Kochi, M.G. Road",jewellery shop,Ernakulam,"Mahatma Gandhi Rd, Kacheripady, Ernakulam, Kerala 682035",081297 18811,http://www.joscojewellers.in/,4.2,,"https://www.google.com/maps/place/Josco+Jewellers,+Kochi,+M.G.+Road/@9.9820644,76.246926,14z/data=!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b080d5ab1f97025:0xe104838ea6ff8bd6!8m2!3d9.985331!4d76.281811!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F1tlw7hsr?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,
A Geeri Pai Gold & Diamonds,jewellery shop,Ernakulam,"Civil Line Rd, Sonia Nagar, Palarivattom, Kochi, Ernakulam, Kerala 682024",0484 404 2020,http://www.ageeripai.com/,4.5,,"https://www.google.com/maps/place/A+Geeri+Pai+Gold+%26+Diamonds/@10.004717,76.2744902,14z/data=!3m1!5s0x3b080d1b743aed69:0x602acb903d95cddc!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b080d1b75e708c3:0xbae4385c440e0270!8m2!3d10.004717!4d76.3105391!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F11c4l_pvkm?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,info@ageeripai.com
"Kushals Fashion Jewellery - MG Road, Kochi",jewellery shop,Ernakulam,"Metro pillar 718, Jewel Junction, 62-3623, Mahatma Gandhi Rd, Ernakulam South, Kochi, Ernakulam, Kerala 682011",098735 64850,https://www.kushals.com/,4.8,,"https://www.google.com/maps/place/Kushals+Fashion+Jewellery+-+MG+Road,+Kochi/@9.9694443,76.2500276,14z/data=!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b08732b25a78275:0x28fee60d22f976ad!8m2!3d9.9694443!4d76.2860765!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F11v0xt91cm?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,hello@kushals.com
S J GOLD AND SILVER JEWELLERY,jewellery shop,Ernakulam,"METRO PILLER NO. 517, S.N, JUNCTION, Sonia Nagar, Palarivattom, Kochi, Ernakulam, Kerala 682025",090376 88916,,4.9,,"https://www.google.com/maps/place/S+J+GOLD+AND+SILVER+JEWELLERY/@10.0046565,76.2692688,14z/data=!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b080d0096368727:0x1fc821fb2eb9e20a!8m2!3d10.0046565!4d76.3053177!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgELZ29sZF9kZWFsZXLgAQA!16s%2Fg%2F11y44blwdx?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,
"Kushal's Fashion Jewellery - Lulu Mall, Kochi",jewellery shop,Ernakulam,"2nd Floor, LULU Mall Lulu Mall, NH 47, Entrance, Edappally, Kochi, Kerala 682024",098735 64103,http://www.kushals.com/,4.8,,"https://www.google.com/maps/place/Kushal's+Fashion+Jewellery+-+Lulu+Mall,+Kochi/@10.0046565,76.2692688,14z/data=!3m1!5s0x3b080dafb089d8fd:0xec6b7a84a46b3205!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b080db0ffffffff:0xd7e1c3156364ddf8!8m2!3d10.026448!4d76.308362!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F12hldycjy?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,hello@kushals.com
Bhima Silver,jewellery shop,Ernakulam,"DOOR NO.40/575, NEW NO.62/3630 ENSIGN ENCLAVE, Mahatma Gandhi Rd, Kochi, Kerala 682011",080860 88060,https://bhima.com/,4.9,,"https://www.google.com/maps/place/Bhima+Silver/@9.9693386,76.250039,14z/data=!4m11!1m3!2m2!1sjewellery+shop+in+Ernakulam,+Kerala!6e6!3m6!1s0x3b08730e3a00ac77:0xc010a5de61c36550!8m2!3d9.9693386!4d76.2860879!15sCiNqZXdlbGxlcnkgc2hvcCBpbiBFcm5ha3VsYW0sIEtlcmFsYVokIiJqZXdlbGxlcnkgc2hvcCBpbiBlcm5ha3VsYW0ga2VyYWxhkgENamV3ZWxyeV9zdG9yZeABAA!16s%2Fg%2F11k3hj12fv?entry=ttu&g_ep=EgoyMDI2MDUwMi4wIKXMDSoASAFQAw%3D%3D",2026-05-07 13:32,
